id,marque,modele,annee,energie,autonomie_km,immatriculation,etat,localisation
1,Kia,EV6,2022,Electrique,320,XR-964-LJ,En maintenance,Strasbourg
2,Kia,EV6,2024,Electrique,270,OY-932-RY,En maintenance,Nantes
3,Hyundai,Ioniq 5,2022,Electrique,380,BJ-663-FL,Hors service,Marseille
4,Kia,EV6,2024,Electrique,480,MW-909-XP,Hors service,Montpellier
5,Mercedes,EQA,2021,Electrique,390,UN-317-LM,En maintenance,Lyon
6,Hyundai,Ioniq 5,2024,Electrique,330,PU-953-NB,En maintenance,Montpellier
7,BMW,iX1,2024,Electrique,270,YO-412-AH,Hors service,Toulouse
8,Nissan,Leaf,2024,Electrique,270,SO-650-ZD,Disponible,Lyon
9,Toyota,Proace Electric,2023,Electrique,530,YE-805-LI,En maintenance,Nice
10,Renault,Megane E-Tech,2024,Electrique,550,YE-951-QU,Disponible,Montpellier
11,Citroen,Ami,2024,Electrique,550,WT-751-VN,Disponible,Lyon
12,Mercedes,EQB,2024,Electrique,420,OD-742-GO,En maintenance,Toulouse
13,Volkswagen,ID.5,2022,Electrique,550,KO-197-KW,Hors service,Nantes
14,Mercedes,EQA,2022,Electrique,500,KM-850-ZY,En maintenance,Lille
15,Kia,Soul EV,2024,Electrique,360,TR-567-ZM,Hors service,Nantes
16,Renault,Megane E-Tech,2021,Electrique,590,JR-526-BM,Disponible,Marseille
17,Citroen,Ami,2023,Electrique,340,XF-922-TM,Hors service,Strasbourg
18,Tesla,Model 3,2022,Electrique,270,HU-769-AI,En maintenance,Nice
19,Kia,Soul EV,2022,Electrique,510,IW-415-IT,En service,Toulouse
20,Mercedes,EQA,2022,Electrique,500,IL-910-WY,Disponible,Paris
21,Mercedes,EQB,2023,Electrique,330,FF-812-UQ,En maintenance,Nantes
22,Toyota,Proace Electric,2024,Electrique,320,UD-673-OE,En maintenance,Lyon
23,Mercedes,EQA,2021,Electrique,420,AQ-685-JB,En service,Montpellier
